S,T,fillRate,time,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
10,4,6.700000e-01,1.325900e-02,10,7,7.500000e+00,12,10,10,7,8,11,9,7.500000e+00,10,8.500000e+00,5.500000e+00,9.500000e+00,6,9,10,11,1.250000e+01,7,9,1.150000e+01,1.050000e+01,1.250000e+01,7,10,13,8.500000e+00,5.500000e+00,9.183333e+00,0,0,0,1,0,1,0,1,1.500000e+00,5.000000e-01,0,1.500000e+00,0,0,1,1.500000e+00,0,0,0,0,0,1,2,4.666670e+00,0,2,1,0,0,0,6.555557e-01
5,5,6.700000e-01,1.102280e-02,10,8.500000e+00,7.500000e+00,9,4,4.500000e+00,8.500000e+00,6,7.500000e+00,7,9.500000e+00,7,9,8.500000e+00,7.500000e+00,11,8,6.500000e+00,9,5,5.500000e+00,8,6,7.500000e+00,7,8,8,9,6,9,7.583333e+00,4,0,0,2,3,0,2,1,1,1,5.000000e-01,1,3.500000e+00,2,2,1,5.000000e-01,2,1,0,2.166670e+00,1,1.500000e+00,1,0,0,1,5.000000e-01,2.500000e+00,0,1.238889e+00
6,5,6.700000e-01,1.340470e-02,9.500000e+00,8,8.500000e+00,1.150000e+01,5,7.500000e+00,9.500000e+00,11,6.500000e+00,8,6.500000e+00,8.500000e+00,8.500000e+00,8,11,11,9,8.500000e+00,6.500000e+00,7.500000e+00,10,8,8,7,9,7,7.500000e+00,6.500000e+00,9,6.500000e+00,8.283333e+00,2.500000e+00,1.500000e+00,1,5,0,1,1,0,0,0,1,0,0,3.500000e+00,0,1,0,1,2.500000e+00,1,1,3,1.500000e+00,0,0,0,1,3.500000e+00,2,0,1.133333e+00
7,5,6.700000e-01,1.294660e-02,1.150000e+01,8.500000e+00,1.150000e+01,10,1.050000e+01,1.050000e+01,1.050000e+01,8.500000e+00,1.250000e+01,10,12,8.500000e+00,11,7,12,9.500000e+00,1.150000e+01,9,8.500000e+00,9.500000e+00,9,1.050000e+01,9.500000e+00,9.500000e+00,9.500000e+00,6,6,8.500000e+00,1.050000e+01,10,9.716667e+00,1,2.500000e+00,2.500000e+00,5.000000e-01,0,1.500000e+00,1,5.000000e-01,2,1,0,2,2,2,0,0,3.500000e+00,4,0,2,1,0,0,1,3,1.666670e+00,2,0,1,1,1.288889e+00
8,5,6.700000e-01,1.415320e-02,12,1.250000e+01,12,11,9.500000e+00,13,1.250000e+01,1.150000e+01,15,11,1.150000e+01,6.500000e+00,11,1.050000e+01,9.500000e+00,12,1.050000e+01,9.500000e+00,1.250000e+01,1.166667e+01,13,12,12,14,11,1.050000e+01,11,1.150000e+01,15,13,1.160556e+01,2,1.500000e+00,3,1,0,5.000000e-01,3,1,5.000000e-01,2,0,1,5.000000e-01,5.000000e-01,3,1,0,0,4,1,0,0,2,2.500000e+00,0,0,1,0,1,1.500000e+00,1.116667e+00
9,5,6.700000e-01,2.013280e-02,1.350000e+01,1.350000e+01,11,12,1.450000e+01,13,12,1.350000e+01,1.550000e+01,12,1.150000e+01,15,10,1.450000e+01,1.350000e+01,8.666667e+00,13,1.350000e+01,13,15,14,13,1.350000e+01,1.750000e+01,11,1.250000e+01,16,15,1.050000e+01,1.350000e+01,1.315556e+01,1,2.500000e+00,1,3,0,2,2.500000e+00,0,5.000000e-01,0,0,2,3.500000e+00,2.500000e+00,0,1,0,2,2.500000e+00,6,0,0,2,0,4,2,5.000000e-01,2,0,0,1.416667e+00
10,5,6.700000e-01,1.867960e-02,11,1.450000e+01,14,1.950000e+01,12,11,14,1.250000e+01,12,1.450000e+01,15,15,8.500000e+00,1.550000e+01,1.250000e+01,1.150000e+01,14,1.550000e+01,17,1.750000e+01,1.666667e+01,1.750000e+01,1.550000e+01,17,15,15,15,11,17,17,1.445556e+01,0,2,2,1,1,0,0,5,1,0,1,2.500000e+00,0,1,0,1,1,0,0,4,2,1,1,0,0,3.500000e+00,0,0,1,1,1.066667e+00
5,6,6.700000e-01,1.143060e-02,11,1.250000e+01,9,8,9.500000e+00,1.050000e+01,11,1.050000e+01,10,1.150000e+01,9.500000e+00,8,8.500000e+00,1.050000e+01,8,8.500000e+00,8.500000e+00,1.350000e+01,7.500000e+00,8.500000e+00,6.166667e+00,7,12,10,10,9,10,12,10,10,9.688889e+00,5,2,5,4.500000e+00,2,4,0,2,5.500000e+00,1,4.500000e+00,3,4.500000e+00,2.500000e+00,5,1.500000e+00,5.000000e-01,2.500000e+00,4,2.500000e+00,1,2.500000e+00,5,3.500000e+00,1,4.500000e+00,3.500000e+00,5,0,2,2.983333e+00
6,6,6.700000e-01,1.533590e-02,13,1.150000e+01,14,1.216667e+01,11,1.066667e+01,1.250000e+01,14,1.350000e+01,11,1.216667e+01,8.500000e+00,12,1.250000e+01,1.250000e+01,1.050000e+01,12,1.050000e+01,8,12,15,11,7.500000e+00,1.150000e+01,9.500000e+00,14,1.150000e+01,12,1.050000e+01,1.350000e+01,1.166667e+01,0,6,4,2,1,0,3.500000e+00,5.000000e-01,7,3,1,2,4.500000e+00,1,2,4,5.000000e-01,4,2,2.500000e+00,5,2,0,2,1,2,5.500000e+00,1,3,2,2.466667e+00
7,6,6.700000e-01,2.116310e-02,14,12,14,1.450000e+01,11,1.450000e+01,12,1.450000e+01,1.650000e+01,15,1.350000e+01,8.500000e+00,1.150000e+01,14,15,16,1.250000e+01,16,1.150000e+01,1.750000e+01,1.150000e+01,1.450000e+01,1.250000e+01,1.350000e+01,1.350000e+01,1.150000e+01,1.150000e+01,16,15,12,1.351667e+01,2.500000e+00,2,1,3,2.500000e+00,3.500000e+00,6.500000e+00,2.500000e+00,0,3,3,3,1.500000e+00,2,0,5.000000e-01,4,3,1,4,2.500000e+00,1,3,4,3,2.500000e+00,2.500000e+00,0,4.500000e+00,2.500000e+00,2.466667e+00
8,6,6.700000e-01,2.677080e-02,20,12,1.650000e+01,17,1.250000e+01,17,1.450000e+01,14,1.750000e+01,15,14,1.750000e+01,1.250000e+01,1.550000e+01,1.150000e+01,14,12,18,18,13,15,18,1.750000e+01,16,15,13,1.650000e+01,2.050000e+01,1.450000e+01,20,1.560000e+01,2,2,5.000000e-01,2.500000e+00,2,1,0,4,5.500000e+00,1,5.166670e+00,1,1.500000e+00,2,2,0,4,7.500000e+00,4,2.500000e+00,1,1,2,5,2,0,4,1,0,1,2.238889e+00
9,6,6.700000e-01,2.565740e-02,15,1.350000e+01,20,1.550000e+01,1.850000e+01,18,17,18,2.050000e+01,1.850000e+01,18,17,1.550000e+01,16,19,1.450000e+01,1.550000e+01,13,18,18,17,1.450000e+01,1.216667e+01,15,18,1.850000e+01,18,17,1.650000e+01,1.750000e+01,1.677222e+01,5,7.500000e+00,7.500000e+00,2,2,4,5,4,1,3,4,2.500000e+00,7.500000e+00,4,3,1,0,1,1,0,3,2,1,2,4.500000e+00,0,1,3,2,1,2.816667e+00
10,6,6.700000e-01,2.374620e-02,16,21,1.950000e+01,2.350000e+01,14,1.950000e+01,1.450000e+01,2.050000e+01,21,1.950000e+01,22,1.750000e+01,2.150000e+01,21,20,20,2.250000e+01,21,2.050000e+01,1.650000e+01,23,2.050000e+01,16,21,21,1.950000e+01,1.950000e+01,1.550000e+01,20,19,1.955000e+01,7,4.500000e+00,4.500000e+00,3,4,5.000000e-01,1,4,2,3,1.500000e+00,0,5.000000e-01,2,0,3,0,5,0,3,4,0,3,2.500000e+00,2.500000e+00,2,4,0,1.500000e+00,6,2.466667e+00
